accepted_name	IUCN_category_old	IUCN_category_new	TS_category_old	TS_category_new	IUCN_old	IUCN_new	TS_global_old	TS_global_new
Calamus tenuis	NE	LC	Possibly Threatened	Not Threatened	0	1	1	1
Calamus tetradactyloides	NE	NE	Not Threatened	Threatened	0	0	1	1
Calamus tetradactylus	NE	NE	Not Threatened	NE	0	0	1	0
Calamus thwaitesii	NE	NE	NE	NE	0	0	0	0
Calamus thysanolepis	NE	NE	Possibly Threatened	NE	0	0	2	0
Calamus timorensis	NE	NE	NE	NE	0	0	0	0
Calamus toli-toliensis	NE	NE	NE	NE	0	0	0	0
Calamus trachycoleus	NE	NE	NE	NE	0	0	0	0
Calamus treubianus	NE	NE	NE	NE	0	0	0	0
Calamus trichrous	NE	NE	NE	NE	0	0	0	0
Calamus tumidus	NE	NE	NE	NE	0	0	0	0
Calamus unifarius	NE	NE	NE	NE	0	0	0	0
Calamus unijugus	NE	NE	Threatened	NE	0	0	1	0
Calamus urdanetanus	NE	NE	Possibly Threatened	NE	0	0	1	0
Calamus ursinus	NE	NE	NE	NE	0	0	0	0
Calamus uschdraweitianus	NE	NE	NE	NE	0	0	0	0
Calamus usitatus	NE	LC	Possibly Threatened	Not Threatened	0	1	1	1
Calamus validus	NE	NE	NE	NE	0	0	0	0
Calamus vattayila	NE	NE	NE	NE	0	0	0	0
Calamus verticillaris	NE	NE	NE	NE	0	0	0	0
Calamus vestitus	NE	NE	Not Threatened	NE	0	0	1	0
Calamus vidalianus	NE	NE	Possibly Threatened	NE	0	0	1	0
Calamus viminalis	NE	LC	Not Threatened	Not Threatened	0	2	5	2
Calamus vinosus	NE	NE	Possibly Threatened	Threatened	0	0	1	1
Calamus viridissimus	NE	NE	NE	NE	0	0	0	0
Calamus vitiensis	NE	NE	Not Threatened	NE	0	0	2	0
Calamus walkeri	NE	NE	Possibly Threatened	NE	0	0	2	0
Calamus wanggaii	NE	NE	Not Threatened	NE	0	0	1	0
Calamus warburgii	NE	NE	NE	NE	0	0	0	0
Calamus whitmorei	NE	NE	Threatened	NE	0	0	1	0
Calamus wightii	NE	NE	Possibly Threatened	NE	0	0	1	0
Calamus womersleyi	NE	NE	NE	NE	0	0	0	0
Calamus wrightmyoensis	NE	NE	NE	NE	0	0	0	0
Calamus wuliangshanensis	NE	NE	NE	Threatened	0	0	0	1
Calamus yentuensis	NE	NE	NE	NE	0	0	0	0
Calamus zebrinus	NE	NE	Not Threatened	NE	0	0	1	0
Calamus zeylanicus	NE	NE	Threatened	NE	0	0	1	0
Calamus zieckii	NE	NE	NE	NE	0	0	0	0
Calamus zollingeri	NE	NE	NE	NE	0	0	0	0
Calamus zonatus	NE	NE	NE	NE	0	0	0	0
Calyptrocalyx albertisianus	NE	NE	NE	NE	0	0	0	0
Calyptrocalyx amoenus	NE	NE	NE	NE	0	0	0	0
Calyptrocalyx arfakianus	NE	NE	NE	NE	0	0	0	0
Calyptrocalyx awa	NE	NE	NE	NE	0	0	0	0
Calyptrocalyx caudiculatus	NE	NE	NE	NE	0	0	0	0
Calyptrocalyx doxanthus	NE	NE	NE	NE	0	0	0	0
Calyptrocalyx elegans	NE	NE	NE	NE	0	0	0	0
Calyptrocalyx flabellatus	NE	NE	NE	NE	0	0	0	0
Calyptrocalyx forbesii	NE	NE	NE	NE	0	0	0	0
Calyptrocalyx geonomiformis	NE	NE	NE	NE	0	0	0	0
Calyptrocalyx hollrungii	NE	NE	NE	NE	0	0	0	0
Calyptrocalyx julianettii	NE	NE	NE	NE	0	0	0	0
Calyptrocalyx lauterbachianus	NE	NE	NE	NE	0	0	0	0
Calyptrocalyx laxiflorus	NE	NE	NE	NE	0	0	0	0
Calyptrocalyx lepidotus	NE	NE	NE	NE	0	0	0	0
Calyptrocalyx leptostachys	NE	NE	NE	NE	0	0	0	0
Calyptrocalyx merrillianus	NE	NE	NE	NE	0	0	0	0
Calyptrocalyx micholitzii	NE	NE	NE	NE	0	0	0	0
