"accepted_name"	"ECO"
"Dypsis henrici"	1
"Dypsis heteromorpha"	3
"Dypsis heterophylla"	2
"Dypsis hiarakae"	4
"Dypsis hildebrandtii"	2
"Dypsis hovomantsina"	1
"Dypsis humilis"	1
"Dypsis ifanadianae"	1
"Dypsis integra"	2
"Dypsis intermedia"	1
"Dypsis interrupta"	1
"Dypsis jeremiei"	1
"Dypsis jumelleana"	2
"Dypsis laevis"	1
"Dypsis lanceolata"	1
"Dypsis lantzeana"	1
"Dypsis lanuginosa"	1
"Dypsis lastelliana"	3
"Dypsis leptocheilos"	1
"Dypsis lilacina"	1
"Dypsis lokohoensis"	2
"Dypsis louvelii"	2
"Dypsis lutea"	1
"Dypsis lutescens"	3
"Dypsis madagascariensis"	4
"Dypsis mahia"	1
"Dypsis makirae"	1
"Dypsis malcomberi"	2
"Dypsis mananjarensis"	3
"Dypsis mangorensis"	1
"Dypsis marojejyi"	2
"Dypsis mcdonaldiana"	1
"Dypsis metallica"	2
"Dypsis minuta"	1
"Dypsis mirabilis"	2
"Dypsis mocquerysiana"	1
"Dypsis montana"	1
"Dypsis moorei"	1
"Dypsis nauseosa"	2
"Dypsis nodifera"	4
"Dypsis nossibensis"	1
"Dypsis occidentalis"	3
"Dypsis onilahensis"	3
