"Species"	"Use_HUF"	"Use_HUMa"	"Use_HUMe"	"Use_HUC"
"Calamus maculatus"	0	0	0	0
"Calamus maiadum"	0	0	0	0
"Calamus malawaliensis"	0	0	0	0
"Calamus manan"	0	1	0	0
"Calamus manii"	0	0	0	0
"Calamus manillensis"	0	1	0	0
"Calamus marginatus"	0	1	0	0
"Calamus mattanensis"	0	1	0	0
"Calamus maturbongsii"	0	0	0	0
"Calamus megalocarpus"	0	0	0	0
"Calamus megaphyllus"	0	1	0	0
"Calamus meghalayensis"	0	0	0	0
"Calamus melanacanthos"	0	0	0	0
"Calamus melanochaetes"	1	1	0	0
"Calamus melanochrous"	0	0	0	0
"Calamus melanoloma"	0	1	0	0
"Calamus melanorhynchus"	0	1	0	0
"Calamus merrillii"	0	1	0	0
"Calamus metzianus"	0	0	1	0
"Calamus micracanthus"	0	1	1	0
"Calamus micranthus"	0	1	0	0
"Calamus microsphaerion"	0	1	0	0
"Calamus microstachys"	0	0	0	0
"Calamus minahassae"	0	1	0	0
"Calamus minor"	0	0	0	0
"Calamus minutus"	0	0	0	0
"Calamus mirabilis"	0	1	0	0
"Calamus mitis"	0	1	0	0
"Calamus modestus"	0	0	0	0
"Calamus mogeae"	0	0	0	0
"Calamus mogeanus"	0	0	0	0
"Calamus mollis"	0	1	0	0
"Calamus mollispinus"	0	0	0	0
"Calamus monticola"	0	0	0	0
"Calamus moorei"	0	0	0	0
"Calamus moorhousei"	0	0	0	0
"Calamus moseleyanus"	0	1	0	0
"Calamus moszkowskianus"	0	0	0	0
"Calamus moti"	0	0	0	0
"Calamus muelleri"	0	0	0	0
"Calamus multispicatus"	0	0	0	0
"Calamus muricatus"	0	1	0	0
"Calamus myriacanthus"	0	0	0	0
"Calamus myrianthus"	0	0	0	0
"Calamus nagbettai"	0	0	0	0
"Calamus nanduensis"	0	0	0	0
"Calamus nannostachys"	0	1	0	0
"Calamus nanodendron"	0	0	0	0
"Calamus nematospadix"	0	0	0	0
"Calamus nicobaricus"	0	0	0	0
"Calamus nicolai"	0	0	0	0
"Calamus nielsenii"	0	0	0	0
"Calamus niger"	0	0	0	0
"Calamus nitidus"	0	0	0	0
"Calamus novae-georgii"	0	0	0	0
"Calamus nuichuaensis"	0	0	0	0
"Calamus oblatus"	0	0	0	0
"Calamus oblongus"	1	1	0	0
"Calamus occidentalis"	0	0	0	0
"Calamus ochrolepis"	0	1	0	0
"Calamus ocreatus"	0	0	0	0
"Calamus oligolepis"	0	1	0	0
"Calamus oligophyllus"	0	0	0	0
"Calamus oligostachys"	0	0	0	0
"Calamus optimus"	0	1	0	0
"Calamus oresbius"	0	1	0	1
"Calamus ornatus"	1	1	1	0
"Calamus orthostachyus"	0	0	0	0
"Calamus ovoideus"	0	1	0	0
"Calamus oxleyanus"	0	1	0	0
"Calamus oxycarpus"	0	0	0	0
"Calamus oxycoccus"	0	0	0	0
"Calamus pachypus"	0	1	0	1
"Calamus pachyrostris"	0	0	0	0
"Calamus pachystemonus"	0	0	0	0
"Calamus padangensis"	0	0	0	0
"Calamus palembanicus"	1	1	0	0
"Calamus pandanosmus"	0	0	0	0
"Calamus pannosus"	0	1	0	0
"Calamus papuanus"	0	1	0	0
"Calamus papyraceus"	0	0	0	0
"Calamus parutan"	0	0	0	0
"Calamus parvifructus"	0	0	0	0
