"species"	"IUCN_TS_sum"	"IUCN_TS_sum_InclOld"	"Subset"	"Predicted_class_MOST"	"Predicted_PnonLC_MOST"	"Predicted_PLC_MOST"	"Expert"	"subset_plot_iucn_MOST"	"subset_plot_IUCNpreds1_MOST"	"subset_plot_IUCNpreds2_MOST"	"subset_plot_IUCNpreds1_exp_MOST"	"subset_plot_IUCNpreds2_exp_MOST"	"Continent"	"GrowthForm"	"Armed"	"MaxLeafLen_m"	"AvFruitLen_cm_mod"	"AvFruitWid_cm_mod"	"AvFruitVol_cm3"	"FruitDim1_cm"	"FruitDim2_cm"	"Small_bird_food"	"Large_bird_food"	"Bird_food"	"Small_mammal_food"	"Large_mammal_food"	"Mammal_food"	"High_C_trapper"	"Int_C_trapper"	"Low_C_trapper"	"High_or_Int_C_trapper"	"Human_use_all"	"Human_use_food"	"Human_use_materials"	"Human_use_medicine"	"Human_use_cultural"	"Predicted_class_LEAST"	"Predicted_PnonLC_LEAST"	"Predicted_PLC_LEAST"	"subset_plot_iucn_LEAST"	"subset_plot_IUCNpreds1_LEAST"	"subset_plot_IUCNpreds2_LEAST"	"subset_plot_IUCNpreds1_exp_LEAST"	"subset_plot_IUCNpreds2_exp_LEAST"	"FD_G"	"ED"	"FDcat"	"EDcat"	"REC"	"OLD"	"PRED"	"Subset2"	"RLa"	"RLro"	"RLr"	"RLa_MLp_BS"	"RLro_MLpr_BS"	"RLr_MLpr_BS"	"RLa_MLp_WS"	"RLro_MLpr_WS"	"RLr_MLpr_WS"	"RLro_MLpr_EG_BS"	"RLro_MLpr_EG_WS"
"Salacca acehensis"	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.974"	"0.026"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.733229676223923"	"0.266770323776077"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.221748200322881	"NA"	"NO"	"NA"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"
"Salacca affinis"	"NE"	"NE"	"PREDICTED"	"LC"	"0.41"	"0.59"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"A"	"1"	"NA"	"8"	"4"	"67.0206432765822"	"8"	"4"	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	"NA"	"NA"	"NA"	"NA"	"YES"	"YES"	"NO"	"NO"	"NO"	"nonLC"	"0.626371021295901"	"0.373628978704099"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.376817504755104	"10.108407123328"	"YES"	"YES"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"nonLC"	"nonLC"	"nonLC"	"LC"	"nonLC"
"Salacca bakeriana"	"NE"	"NE"	"NO_ML"	"NA"	"NA"	"NA"	"nonLC"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"EAsiaPacific"	"A"	"1"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	0.36128900890292	"13.8964250446228"	"YES"	"YES"	"NO"	"NO"	"NO"	"NOPRED_data_noAss_noOcc"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"
"Salacca clemensiana"	"NE"	"nonLC"	"PREDICTED"	"LC"	"0.484"	"0.516"	"NA"	"nonLC"	"nonLC"	"LC"	"nonLC"	"LC"	"EAsiaPacific"	"A"	"1"	"6.1"	"2.775"	"2"	"5.81194640914112"	"2.775"	"2"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NO"	"NA"	"YES"	"NO"	"NO"	"NO"	"NO"	"nonLC"	"0.600570377387567"	"0.399429622612433"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.355480865078542	"13.757349742451"	"YES"	"YES"	"NO"	"YES"	"YES"	"REPRED_data"	"nonLC"	"NA"	"NA"	"nonLC"	"LC"	"LC"	"nonLC"	"nonLC"	"nonLC"	"LC"	"nonLC"
"Salacca dolicholepis"	"NE"	"nonLC"	"PREDICTED"	"nonLC"	"0.674"	"0.326"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"A"	"1"	"9.1"	"4"	"3"	"18.8495559215388"	"4"	"3"	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	"NA"	"NA"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.665649636857364"	"0.334350363142636"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.366670619714365	"13.9027774884254"	"YES"	"YES"	"NO"	"YES"	"YES"	"REPRED_data"	"nonLC"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"
"Salacca dransfieldiana"	"NE"	"nonLC"	"PREDICTED"	"LC"	"0.558"	"0.442"	"NA"	"nonLC"	"nonLC"	"LC"	"nonLC"	"LC"	"EAsiaPacific"	"A"	"1"	"3.75"	"NA"	"NA"	"NA"	"NA"	"NA"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.70568122335118"	"0.29431877664882"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.3578573178297	"13.8137929421277"	"YES"	"YES"	"NO"	"YES"	"YES"	"REPRED_data"	"nonLC"	"NA"	"NA"	"nonLC"	"LC"	"LC"	"nonLC"	"nonLC"	"nonLC"	"LC"	"nonLC"
"Salacca flabellata"	"NE"	"nonLC"	"NO_ML"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"A"	"1"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.357664206700127	"13.7220733225646"	"YES"	"YES"	"NO"	"YES"	"NO"	"NOPRED_data_old_noOcc"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"
"Salacca glabrescens"	"NE"	"NE"	"PREDICTED"	"LC"	"0.57"	"0.43"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"A"	"1"	"NA"	"4.75"	"3.5"	"30.466903755126"	"4.75"	"3.5"	"NO"	"YES"	"YES"	"NO"	"NO"	"NO"	"YES"	"NO"	"NO"	"YES"	"YES"	"YES"	"NO"	"NO"	"NO"	"nonLC"	"0.689978322266699"	"0.310021677733301"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.369782741260385	"13.3710246967373"	"YES"	"YES"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"nonLC"	"nonLC"	"nonLC"	"LC"	"nonLC"
"Salacca graciliflora"	"NE"	"nonLC"	"NO_ML"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"A"	"1"	"5.3"	"3.4"	"2.5"	"11.1264739814638"	"3.4"	"2.5"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.3591248217969	"13.936925558571"	"YES"	"YES"	"NO"	"YES"	"NO"	"NOPRED_data_old_noOcc"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"
"Salacca griffithii"	"NE"	"NE"	"NO_ML"	"NA"	"NA"	"NA"	"nonLC"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"EAsiaPacific"	"A"	"1"	"NA"	"8"	"8"	"268.082573106329"	"8"	"8"	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	"NA"	"NA"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	0.38397481375734	"13.5480158981306"	"YES"	"YES"	"NO"	"NO"	"NO"	"NOPRED_data_noAss_noOcc"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"
"Salacca lophospatha"	"NE"	"nonLC"	"NO_ML"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"A"	"1"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.36128900890292	"13.7786169072101"	"YES"	"YES"	"NO"	"YES"	"NO"	"NOPRED_data_old_noOcc"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"
"Salacca magnifica"	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.842"	"0.158"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"A"	"1"	"7.55"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"YES"	"NO"	"NO"	"NO"	"NA"	"NA"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.675303930685814"	"0.324696069314186"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.369504061059786	"13.8444117829854"	"YES"	"YES"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"
"Salacca minuta"	"NE"	"nonLC"	"NO_ML"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"A"	"1"	"1.75"	"NA"	"NA"	"NA"	"NA"	"NA"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.358401563293061	"13.8068211147789"	"YES"	"YES"	"NO"	"YES"	"NO"	"NOPRED_data_old_noOcc"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"
"Salacca multiflora"	"NE"	"nonLC"	"NO_ML"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"A"	"1"	"2.52"	"1.8"	"1.5"	"2.12057504117311"	"1.8"	"1.5"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.353933378270525	"13.7951440059945"	"YES"	"YES"	"NO"	"YES"	"NO"	"NOPRED_data_old_noOcc"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"	"NA"	"nonLC"	"nonLC"
"Salacca ramosiana"	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.578"	"0.422"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"A"	"1"	"10.4"	"6"	"3"	"28.2743338823081"	"6"	"3"	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	"NA"	"NA"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.586935956848798"	"0.413064043151202"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.372084061427241	"10.1829872803771"	"YES"	"YES"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"
"Salacca rupicola"	"NE"	"nonLC"	"PREDICTED"	"nonLC"	"0.928"	"0.072"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"A"	"1"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.738242789892483"	"0.261757210107517"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.358343280421038	"11.7253252386657"	"YES"	"YES"	"NO"	"YES"	"YES"	"REPRED_data"	"nonLC"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"
"Salacca sarawakensis"	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.926"	"0.074"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"A"	"1"	"9.75"	"NA"	"NA"	"NA"	"NA"	"NA"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NA"	"NA"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.736647325922435"	"0.263352674077565"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.367990145742598	"13.3291890299814"	"YES"	"YES"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"
"Salacca secunda"	"NE"	"NE"	"PREDICTED"	"LC"	"0.474"	"0.526"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"A"	"1"	"9.75"	"6"	"6.25"	"117.809724509617"	"6.25"	"6"	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	"NA"	"NA"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.547071708918198"	"0.452928291081802"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.377502546447547	"13.9086544730562"	"YES"	"YES"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"nonLC"	"nonLC"	"nonLC"	"LC"	"nonLC"
"Salacca stolonifera"	"NE"	"NE"	"NO_ML"	"NA"	"NA"	"NA"	"nonLC"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"EAsiaPacific"	"A"	"1"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NO"	"NO"	"NO"	"NA"	"NA"	"YES"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	0.358684277322017	"13.573211762639"	"YES"	"YES"	"NO"	"NO"	"NO"	"NOPRED_data_noAss_noOcc"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"
"Salacca sumatrana"	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.922"	"0.078"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"A"	"1"	"10.1"	"7"	"4.5"	"74.2201264410589"	"7"	"4.5"	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.709147640582768"	"0.290852359417232"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.379666994491808	"13.6369425230339"	"YES"	"YES"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"
"Salacca vermicularis"	"NE"	"NE"	"PREDICTED"	"LC"	"0.484"	"0.516"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"A"	"1"	"10.75"	"5.6"	"2.6"	"19.8213552490492"	"5.6"	"2.6"	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	"NA"	"NA"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.65183102976348"	"0.348168970236521"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.369264166740423	"13.6785417254093"	"YES"	"YES"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"nonLC"	"nonLC"	"nonLC"	"LC"	"nonLC"
"Salacca wallichiana"	"NE"	"NE"	"PREDICTED"	"LC"	"0.074"	"0.926"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"E"	"1"	"NA"	"7.5"	"4"	"62.8318530717959"	"7.5"	"4"	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	"YES"	"NO"	"NO"	"YES"	"YES"	"YES"	"YES"	"YES"	"NO"	"LC"	"0.393318898623881"	"0.606681101376119"	"NA"	"LC"	"LC"	"LC"	"LC"	0.295250087226076	"13.8817984527245"	"YES"	"YES"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"	"LC"
"Salacca zalacca"	"NE"	"NE"	"PREDICTED"	"LC"	"0.472"	"0.528"	"NA"	"NA"	"LC"	"LC"	"LC"	"LC"	"EAsiaPacific"	"A"	"1"	"9.75"	"4.35"	"2.95"	"19.8212897992022"	"4.35"	"2.95"	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	"NA"	"NA"	"NO"	"NA"	"YES"	"YES"	"NO"	"NO"	"NO"	"nonLC"	"0.555955394511044"	"0.444044605488956"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.366997273910623	"12.0689943329694"	"YES"	"YES"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"LC"	"LC"	"LC"	"nonLC"	"nonLC"	"nonLC"	"LC"	"nonLC"
"Saribus brevifolius"	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.972"	"0.028"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	"1"	"1.72"	"1.2"	"1.2"	"0.90477868423386"	"1.2"	"1.2"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.742356592997858"	"0.257643407002142"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.234626895571748	"7.08850647535641"	"NO"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"
"Saribus chocolatinus"	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.764"	"0.236"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	"1"	"2.75"	"2.5"	"2.5"	"8.18123086872342"	"2.5"	"2.5"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"YES"	"NO"	"NO"	"YES"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.736850109610852"	"0.263149890389148"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.241668945450975	"6.38233343565777"	"NO"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"
"Saribus jeanneneyi"	"nonLC"	"nonLC"	"TRAIN"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	"1"	"NA"	"4"	"NA"	"NA"	"4"	"NA"	"NO"	"NO"	"NO"	"NO"	"YES"	"YES"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.233628322416641	"5.31339022817452"	"NO"	"NO"	"YES"	"NO"	"NO"	"NOPRED_data_rec_TestTrainDypsis"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"
"Saribus merrillii"	"NE"	"NE"	"NO_ML"	"NA"	"NA"	"NA"	"nonLC"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	"1"	"NA"	"2"	"NA"	"NA"	"2"	"NA"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NA"	"NA"	"NO"	"NA"	"YES"	"YES"	"YES"	"NO"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	0.253627299926046	"5.73992610728848"	"NO"	"NO"	"NO"	"NO"	"NO"	"NOPRED_data_noAss_noOcc"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"
"Saribus papuanus"	"NE"	"NE"	"NO_ML"	"NA"	"NA"	"NA"	"nonLC"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	"1"	"NA"	"1.95"	"1.25"	"1.59534001940107"	"1.95"	"1.25"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NA"	"NA"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	0.246792611834132	"5.43884439456357"	"NO"	"NO"	"NO"	"NO"	"NO"	"NOPRED_data_noAss_noOcc"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"
"Saribus rotundifolius"	"NE"	"nonLC"	"PREDICTED"	"LC"	"0.548"	"0.452"	"NA"	"nonLC"	"nonLC"	"LC"	"nonLC"	"LC"	"EAsiaPacific"	"E"	"1"	"NA"	"1.8"	"NA"	"NA"	"1.8"	"NA"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NA"	"NA"	"NO"	"NA"	"YES"	"YES"	"YES"	"NO"	"YES"	"LC"	"0.484199270580282"	"0.515800729419718"	"nonLC"	"nonLC"	"LC"	"nonLC"	"LC"	0.26172549435286	"5.72353151167907"	"YES"	"NO"	"NO"	"YES"	"YES"	"REPRED_data"	"nonLC"	"NA"	"NA"	"nonLC"	"LC"	"LC"	"nonLC"	"LC"	"LC"	"LC"	"LC"
"Saribus surru"	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.892"	"0.108"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	"1"	"NA"	"6"	"5.25"	"86.5901475145687"	"6"	"5.25"	"NO"	"YES"	"YES"	"NO"	"NO"	"NO"	"NA"	"NA"	"NO"	"NA"	"YES"	"NO"	"YES"	"NO"	"YES"	"nonLC"	"0.717189706389028"	"0.282810293610972"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.249082243238082	"7.06330804577498"	"NO"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"
"Saribus tothur"	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.956"	"0.044"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	"1"	"NA"	"3.9"	"NA"	"NA"	"3.9"	"NA"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NA"	"NA"	"NO"	"NA"	"YES"	"YES"	"YES"	"NO"	"YES"	"nonLC"	"0.735889305401648"	"0.264110694598352"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.24496814753932	"6.33851426409741"	"NO"	"NO"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"
"Saribus woodfordii"	"NE"	"nonLC"	"PREDICTED"	"LC"	"0.402"	"0.598"	"NA"	"nonLC"	"nonLC"	"LC"	"nonLC"	"LC"	"EAsiaPacific"	"E"	"1"	"NA"	"1.075"	"NA"	"NA"	"1.075"	"NA"	"YES"	"NO"	"YES"	"NO"	"NO"	"NO"	"NA"	"NA"	"NO"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"nonLC"	"0.638387476841105"	"0.361612523158895"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.260033115269083	"5.33477245321619"	"NO"	"NO"	"NO"	"YES"	"YES"	"REPRED_data"	"nonLC"	"NA"	"NA"	"nonLC"	"LC"	"LC"	"nonLC"	"nonLC"	"nonLC"	"LC"	"nonLC"
"Satakentia liukiuensis"	"NE"	"NE"	"PREDICTED"	"nonLC"	"0.97"	"0.03"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"EAsiaPacific"	"E"	"0"	"NA"	"1.3"	"0.715"	"0.347979819271812"	"1.3"	"0.715"	"NO"	"NO"	"NO"	"YES"	"NO"	"YES"	"NA"	"NA"	"NO"	"NA"	"YES"	"NO"	"YES"	"NO"	"NO"	"nonLC"	"0.740884863570639"	"0.259115136429361"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	0.214621309233553	"14.0739194776723"	"NO"	"YES"	"NO"	"NO"	"YES"	"NEWPRED_data"	"NA"	"NA"	"NA"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"	"nonLC"
