"Species"	"s1_HUF_BS"	"s1_HUF_BS_pd"	"s1_HUF_BS_fd"	"s1_HUMa_BS"	"s1_HUMa_BS_pd"	"s1_HUMa_BS_fd"	"s1_HUMe_BS"	"s1_HUMe_BS_pd"	"s1_HUMe_BS_fd"	"s1_HUC_BS"	"s1_HUC_BS_pd"	"s1_HUC_BS_fd"	"s1_HUF_WS"	"s1_HUF_WS_pd"	"s1_HUF_WS_fd"	"s1_HUMa_WS"	"s1_HUMa_WS_pd"	"s1_HUMa_WS_fd"	"s1_HUMe_WS"	"s1_HUMe_WS_pd"	"s1_HUMe_WS_fd"	"s1_HUC_WS"	"s1_HUC_WS_pd"	"s1_HUC_WS_fd"
"Attalea maripensis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Attalea microcarpa"	1	0	0	1	0	0	0.921319604422726	0.102678922460014	0.00145393889517201	1	0	0	1	0	0	1	0	0	0.921319604422726	0.102678922460014	0.00145393889517201	1	0	0
"Attalea moorei"	1	0	0	1	0	0	0.783837834396054	0.10873611194117	0.0132412651286899	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Attalea nucifera"	0.90805324242619	0.0976109616055539	0.00289285929211127	0.90805324242619	0.0976109616055539	0.00289285929211127	0.90805324242619	0.0976109616055539	0.00289285929211127	0.90805324242619	0.0976109616055539	0.00289285929211127	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Attalea oleifera"	0.848945286562732	0.0597627033330929	0.0101183218057585	0.848945286562732	0.0597627033330929	0.0101183218057585	0.848945286562732	0.0597627033330929	0.0101183218057585	0.826493136563938	0.096841458626297	0.0101183218057585	0.848945286562732	0.0597627033330929	0.0101183218057585	0.848945286562732	0.0597627033330929	0.0101183218057585	0.848945286562732	0.0597627033330929	0.0101183218057585	0.826493136563938	0.096841458626297	0.0101183218057585
"Attalea osmantha"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Attalea pacensis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Attalea peruviana"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Attalea phalerata"	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0
"Attalea pindobassu"	0.830967608422806	0.0597627033334432	0.0117019287669471	0.830967608422806	0.0597627033334432	0.0117019287669471	0.830967608422806	0.0597627033334432	0.0117019287669471	0.80829122794836	0.0972117655654669	0.0117019287669471	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
