"Region"	"Scenario"	"Use"	"Category"	"PercentageA"	"NumberA"	"NumberUT"
"313"	"ASC"	"WS"	"HUMe"	"C4"	"NaN"	"0"	"0"
"314"	"ASC"	"BS"	"HUC"	"C1"	"NaN"	"0"	"0"
"315"	"ASC"	"WS"	"HUC"	"C1"	"NaN"	"0"	"0"
"316"	"ASC"	"BS"	"HUC"	"C2"	"NaN"	"0"	"0"
"317"	"ASC"	"WS"	"HUC"	"C2"	"NaN"	"0"	"0"
"318"	"ASC"	"BS"	"HUC"	"C3"	"NaN"	"0"	"0"
"319"	"ASC"	"WS"	"HUC"	"C3"	"NaN"	"0"	"0"
"320"	"ASC"	"BS"	"HUC"	"C4"	"NaN"	"0"	"0"
"321"	"ASC"	"WS"	"HUC"	"C4"	"NaN"	"0"	"0"
"322"	"ASS"	"BS"	"HUF"	"C1"	"100"	"1"	"1"
"323"	"ASS"	"WS"	"HUF"	"C1"	"100"	"1"	"1"
"324"	"ASS"	"BS"	"HUF"	"C2"	"100"	"1"	"1"
"325"	"ASS"	"WS"	"HUF"	"C2"	"100"	"1"	"1"
"326"	"ASS"	"BS"	"HUF"	"C3"	"0"	"0"	"1"
"327"	"ASS"	"WS"	"HUF"	"C3"	"0"	"0"	"1"
"328"	"ASS"	"BS"	"HUF"	"C4"	"0"	"0"	"1"
"329"	"ASS"	"WS"	"HUF"	"C4"	"0"	"0"	"1"
"330"	"ASS"	"BS"	"HUMa"	"C1"	"100"	"2"	"2"
"331"	"ASS"	"WS"	"HUMa"	"C1"	"100"	"4"	"4"
"332"	"ASS"	"BS"	"HUMa"	"C2"	"100"	"2"	"2"
"333"	"ASS"	"WS"	"HUMa"	"C2"	"100"	"4"	"4"
"334"	"ASS"	"BS"	"HUMa"	"C3"	"100"	"2"	"2"
"335"	"ASS"	"WS"	"HUMa"	"C3"	"75"	"3"	"4"
"336"	"ASS"	"BS"	"HUMa"	"C4"	"50"	"1"	"2"
"337"	"ASS"	"WS"	"HUMa"	"C4"	"25"	"1"	"4"
"338"	"ASS"	"BS"	"HUMe"	"C1"	"100"	"2"	"2"
"339"	"ASS"	"WS"	"HUMe"	"C1"	"100"	"3"	"3"
"340"	"ASS"	"BS"	"HUMe"	"C2"	"100"	"2"	"2"
"341"	"ASS"	"WS"	"HUMe"	"C2"	"100"	"3"	"3"
"342"	"ASS"	"BS"	"HUMe"	"C3"	"100"	"2"	"2"
"343"	"ASS"	"WS"	"HUMe"	"C3"	"66.6666666666667"	"2"	"3"
"344"	"ASS"	"BS"	"HUMe"	"C4"	"50"	"1"	"2"
