"accepted_name"	"Nocc"	"IUCN_TS_detail"	"IUCN_TS_sum"	"IUCN_TS_detail_InclOld"	"IUCN_TS_sum_InclOld"	"Subset"	"NsubPop"	"Nloc"	"AOO"	"EOO"	"FLO"	"ECO"	"TDWG3"
"Metroxylon sagu"	43	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	23	28	156	3322439.41124999	0.0745686868443912	12	2
"Metroxylon salomonense"	3	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	3	3	12	13468.1264766585	0.0606741489221652	1	5
"Metroxylon warburgii"	1	"NE"	"NE"	"LC"	"LC"	"NOT_ASSESSED"	1	1	4	NA	NA	1	3
"Myrialepis paradoxa"	21	"NE"	"NE"	"Not Threatened"	"LC"	"NOT_ASSESSED"	15	15	68	1417647.03823057	0.162434550623099	8	8
"Nannorrhops ritchieana"	1	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	1	1	4	NA	0	1	6
"Nenga banaensis"	7	"NE"	"NE"	"Possibly Threatened"	"nonLC"	"NOT_ASSESSED"	5	5	20	29646.7722438226	0.152173545743738	4	1
"Nenga macrocarpa"	2	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	2	2	8	NA	0.0919673033058643	2	2
"Nenga pumila"	54	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	49	50	204	2816285.02881436	0.144370649199657	13	5
"Neonicholsonia watsonii"	90	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	31	47	300	94095.3214393875	0.0656071067684227	5	4
"Neoveitchia brunnea"	1	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	1	1	4	NA	0.00411794520914555	1	1
"Normanbya normanbyi"	23	"NE"	"NE"	"VU"	"nonLC"	"NOT_ASSESSED"	4	11	84	2174.70440169325	0.00327510783782877	1	1
"Oenocarpus bacaba"	93	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	54	59	304	4017936.18482989	0.0527156104835349	18	6
"Oenocarpus bataua"	633	"NE"	"NE"	"Possibly Threatened"	"nonLC"	"NOT_ASSESSED"	258	345	1952	6716325.91891115	0.0570348197910197	36	12
"Oenocarpus circumtextus"	3	"NE"	"NE"	"VU"	"nonLC"	"NOT_ASSESSED"	2	2	8	4.09320938412249	0.0164020678882177	2	2
"Oenocarpus distichus"	28	"NE"	"NE"	"NE"	"NE"	"NOT_ASSESSED"	25	25	100	2222738.0767927	0.127104998341695	11	5
"Oenocarpus makeru"	1	"NE"	"NE"	"Possibly Threatened"	"nonLC"	"NOT_ASSESSED"	1	1	4	NA	0.00728963036090136	1	1
